likes,about_post,date,type,comments,tagged_names
1722029.0," jacquelinef143 Verified It'stimetobecomesmarterwithyourelectricitybillpayment!Allyouneedtodoisuseany enableddigitalchannel,toensurethatyourpaymentisdoneinasimpleandsmartway!!#BeAssured#electricitybillpayment ",MAY 24,video,2823.0,  @BharatBillPay_ @bharatbillpay_ 21w
1587062.0," jacquelinef143 Verified Allthehomedancers,readyforWeek2?IsshaftekathemehaiFlashback!!So,pickyourfavourite70shit,showyourmovesandwinlakhs,onlyon presents#HomeDancer💃🏻💃🏻Harfloor,dancefloor❤️Toparticipatenow,logontohomedancer.hotstar.com   ",MAY 22,video,5474.0,  @DisneyPlusHotstar @sushi1983 @moonlight_chandni @karanwahi 21w
1049262.0, jacquelinef143 Verified Glamupjustlikemewith thisEid💜💜Shoponlineatwww.splashfashions.com🥰😍😘 21w,MAY 21,post,2081.0,  @splashfashions
403302.0," jacquelinef143 Verified CatchmyfirsteverCult.livesessionontheCure.fitapp!Adda""Kick""toyourworkoutswithme! . . . JoinmyBlockbusterMasterclassforFree,startingat6PMtoday!OnlyontheCure.fit #Cultlive#BeBetterEveryDay#Workout#Motivation#Masterclass 21w",MAY 20,post,6814.0,  @app! . . . becurefit
1593642.0," jacquelinef143 Verified So,what’severyonereading??Istillhaven’tmanagedtofinisheven1book!😩#Repost MaycoverstarJacquelineFernandez createdourcoverstoryimageswhilequarantinedoutonaPanvelfarmhouse,wheresheis,“reconnectingwithnature"".Thiscoverspecialcelebratesjustsomeofthethingsthatarebringingusjoyrightnow—beautifulimagery,nature,andthehopeofabetterfuture.  Headtothelinkinourbiotodownloadyourfreecopyofourfirsteverdigitalissue.Staysafe,staywell,andstaywithus. . . . StyledbyJacquelineherself.  ShotbySaajanSingh NonitaKalra Director:YurreipemArthur artdirector:NikhilKaushik editor,digital:RavneetKaurSethi agency: #jacquelinefernandez#bollywood#aprilmayissue#thegreatoutdoors 22w",MAY 16,post,1167.0,"  @bazaarindia ・・・ Our @(jacquelinef143), @(saajan_singh23) . Editor: @(nonitakalra) Creative @(yurreipem) Assistant @(nickmodisto) Consulting @(ravneetkaurr) Actor's @spicesocial  #bazaarindia"
277037.0," jacquelinef143 Verified Whileweareyettofindavaccineforthenovelcoronavirus,there'sasimplewaytodefeatthepandemic.....Positivity!  Don'tforgettotuneinasIwillbegoingLIVEwithlifestylecoachandmotivationalspeaker tomorrowat5PMandlet'sdefeattheinvisibleenemytogether!  #stayhomesavelives #Indiafightscorona #coronavirus #positivity 22w",MAY 14,post,2042.0,"  @gaurgopaldas,"
726518.0, jacquelinef143 Verified Missyoubothsomuch..can’twaittoseeyouwhenthisisallover❤️ 22w,MAY 14,post,4157.0, 
1050923.0, jacquelinef143 Verified 💜Ineedamanicure 22w,MAY 13,post,5171.0, 
1264292.0," jacquelinef143 Verified #Repost MaycoverstarJacquelineFernandez createdourcoverstoryimageswhilequarantinedoutonaPanvelfarmhouse,wheresheisreconnectingwithnature,andherinnerartist.Thiscoverspecialcelebratesjustsomeofthethingsthatarebringingusjoyrightnow—beautifulimagery,nature,andthehopeofabetterfuture.  Downloadourfirsteverdigitalissue.Onlyaclickaway,atthelinkinourbio. . . . StyledbyJacquelineherself.  ShotbySaajanSingh NonitaKalra Director:YurreipemArthur artdirector:NikhilKaushik editor,digital:RavneetKaurSethi agency: #mayissue#thegreatoutdoors#artmeetsfashion#digitalissue 22w",MAY 13,post,5482.0,"  @bazaarindia ・・・ Our @(jacquelinef143), @(saajan_singh23) . Editor: @(nonitakalra) Creative @(yurreipem) Assistant @(nickmodisto) Consulting @(ravneetkaurr) Actor's @spicesocial  #jacquelinefernandez"
973888.0," jacquelinef143 Verified #Repost yehgaanabanaya,gaya,shootkiyaaurpostkiyaaapkeliye,abaapbhiyehgaanasuno,gaao,auraapkeswagmaishootkarogharpe,postkaro,sharekaro,tagkaronenjoykaro... #TereBina (Linkin       #IndiaFightsCorona#StaySafe 23w",MAY 12,post,7398.0,  @beingsalmankhan ・・・ Maine @bio)  jacquelinef143 @ajaybhatia97 @shabbir_ahmed9 @adityadevmusic @abhiraj88 @saajan_singh23 @believe_india
