likes,about_post,date,type,comments,tagged_names
1655418.0, kiaraaliaadvani Verified IamKiaraAdvaniand#IAmAboAthead! 🤙🏻 39w,JANUARY 4,video,1935.0,  @🎧 boat.nirvana
1370880.0," kiaraaliaadvani Verified Furtheryoulook,closeryoufeel 39w",JANUARY 3,post,1445.0, 
1100774.0, kiaraaliaadvani Verified Walkingsafari🦒#OneWithNature 39w,JANUARY 3,post,948.0, 
2033315.0, kiaraaliaadvani Verified #GoodNewwzcontinuestopourin!!😁 Hittinga💯centuryandcountingattheboxoffice!Thankyouforthe #KareenaKapoorKhan        #CapeOfGoodFilms ,JANUARY 2,video,4926.0,  @love!  akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies @zeemusiccompany 39w
926363.0," kiaraaliaadvani Verified 2019hasbeenanextremelyspecialyearformeinmorewaysthanone…Ithastrulybeenablessing! ThankyoufortheimmenseloveforKabirSingh&GoodNewwz!Itakeallofthiswithutmostgratitudeandwannathanknotonlytheaudience,butalsoeveryoneworkingwithme!WhateverIamisbecauseofyouall.Wishingyouallaveryblessed2020!SeeyouatthemovieswithLaxmmiBomb,IndooKiJawaani,BhoolBhulaiyaa2,Shershah&Guilty. 40w","DECEMBER 31, 2019",video,1084.0, 
2557180.0, kiaraaliaadvani Verified Lettingy'allinonawell-guardedsecret.🤫 Fromsingingformyselftoonstageat#StarScreenAwards!Tuneinto tonightat8PMtocatchthefullact. ,"DECEMBER 31, 2019",video,425.0,  @starplus @cineyug 40w
380035.0," kiaraaliaadvani Verified OurbabyandlabouroflovedeliverswithabangattheBoxOffice.😇  #GoodNewwzinCinemasNow. Booktickets,linkin #KareenaKapoorKhan        #CapeOfGoodFilms ","DECEMBER 28, 2019",post,2723.0,  @bio.  akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies @zeemusiccompany 40w
341657.0, kiaraaliaadvani Verified MerryChristamsssss❤️🥰🤗🥳🎅🏽🎅🏽🤩💥💕 40w,"DECEMBER 25, 2019",post,731.0, 
547672.0, kiaraaliaadvani Verified There’snothingbetterthanseeingmysisterSoooohappyandthat’swhatyoubringtoallourlives !Welcomingmybrothertothefamily..youpassedwithflyingcolours!❤️🙌🏼🥰🤗🥳💕Firstadditiontoourfamily!Weloveyouandcan’twaitforallthefuntimesaheadandtosharethisamazingjourneytogether!Iwishyoubothalifetimeofloveandhappiness💕#IshiGotHerKarma 41w,"DECEMBER 22, 2019",post,1079.0,  @karmavivan
970337.0," kiaraaliaadvani Verified #GoodNewwzfortheday?Youcannowbookyourticketsforunlimitedlaughter&love!♥ Advancebookingsnowopen,incinemas27th #KareenaKapoorKhan        #CapeOfGoodFilms #GoodNewwzThisFriday 41w","DECEMBER 22, 2019",video,966.0,  @Dec!  akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies @zeemusiccompany
1390932.0, kiaraaliaadvani Verified Can'tstopthebhangraonscreenoroffscreen!  #SaudaKharaKharamakingoutnow! #GoodNewwzincinemas27th #KareenaKapoorKhan              #CapeOfGoodFilms ,"DECEMBER 21, 2019",video,2689.0,  @December.  akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @sukhbir_singer @dhvanibhanushali22 @dj.lijo @djchetas @kumaarofficial @azeemdayani @zeestudiosofficial @dharmamovies @zeemusiccompany 41w
825025.0, kiaraaliaadvani Verified Musefor ,"DECEMBER 20, 2019",post,1959.0,  @life❤️manishmalhotra05❤️ 41w
706259.0," kiaraaliaadvani Verified Can'twaittomeetyouallincinemasbutbeforethat,youcanbookyourticketsfromTHISSUNDAY!Don'tforget! #GoodNewwzincinemas27th #KareenaKapoorKhan        #CapeOfGoodFilms ","DECEMBER 20, 2019",video,686.0,  @December.  akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies @zeemusiccompany 41w
745620.0, kiaraaliaadvani Verified MonochromeorGold..Keepin'itBold😎    ,"DECEMBER 19, 2019",post,809.0,  @lakshmilehr @makeupbylekha @aasifahmedofficial @savar_9 41w
786066.0, kiaraaliaadvani Verified #GoodNewwzincinemas27thDecember!  Willneedyoutotakeaseat(inthecinemas:p)tohandlethisgoof-up&theBatras!😂 #KareenaKapoorKhan        #CapeOfGoodFilms ,"DECEMBER 19, 2019",video,1143.0,  @akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies @zeemusiccompany 41w
892780.0, kiaraaliaadvani Verified BatrasInDilli! 41w,"DECEMBER 18, 2019",post,869.0, 
1321581.0, kiaraaliaadvani Verified 🌸    ,"DECEMBER 15, 2019",post,676.0,  @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass 42w
970441.0, kiaraaliaadvani Verified 🌸    ,"DECEMBER 12, 2019",post,481.0,  @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass 42w
671228.0, kiaraaliaadvani Verified 🌸    ,"DECEMBER 12, 2019",post,272.0,  @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass 42w
806028.0, kiaraaliaadvani Verified 🌸    ,"DECEMBER 12, 2019",post,390.0,  @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass 42w
1670037.0,           ,"DECEMBER 12, 2019",post,1287.0,  @kiaraaliaadvani Verified 🌈lakshmilehr @makeupbylekha @aasifahmedofficial @esseclothing @trufflecollectionindia @shoplune @misho_designs @shikha298 @makeupbysalonij @25.harshad 42w
870902.0, kiaraaliaadvani Verified Fullhouseforpromotionstoday#GoodNewwz👶🏻❤️🥰🧔🏻👩🏻👳🏻‍♂️👩🏻 42w,"DECEMBER 12, 2019",post,304.0, 
1705552.0, kiaraaliaadvani Verified Here'swhatwentdownin#ChandigarhMein!💃  #GoodNewwz #KareenaKapoorKhan #KaranJohar#ApoorvaMehta#ShashankKhaitan#RajMehta#SomenMishra     #AzeemDayani#BoscoMartis  #CapeOfGoodFilms ,"DECEMBER 11, 2019",video,1624.0,  @akshaykumarofficial @diljitdosanjh @OfficialBadshah @sandhuhardyofficial @lisamishramusic @AseesKaurMusic @tanishklive @ZeeStudios @DharmaMovies @ZeeMusicCompany 42w
1003875.0, kiaraaliaadvani Verified #MaanaDiloutnow!  Sometimeslifegoesalittleofftrack..butwhat'slifewithoutit? #GoodNewwz #KareenaKapoorKhan            #CapeOfGoodFilms ,"DECEMBER 9, 2019",video,1287.0,  @akshaykumar @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @bpraak @tanishk_bagchi @therashmivirag @azeemdayani @zeestudiosofficial @dharmamovies @zeemusiccompany 43w
1138792.0, kiaraaliaadvani Verified SleighingitinmyChristmasredwithmyfavourite #PlugIntoNirvanaandturnupthe#Xmasvibes! 43w,"DECEMBER 5, 2019",post,304.0,  @boat.nirvana.
1034978.0," kiaraaliaadvani Verified VOGUE🤩 PhotographedbyTarunVishwa. Styledby:FabioImmediato GabrielGeorgiou Makeup:SubhashVagal(Subbu).Nails:TheWhiteDoor,Mumbai Setdesign&props:BindiyaChhabria Production:BindiyaChhabria;DivyaJagwani Movementdirection:ShrutiJasani;ParasSharma. 43w","DECEMBER 4, 2019",post,1624.0,  @(mrfabioimmediato)  Hair: @(georgiougabriel). @(thewhitedoorindia). @(bindiya01). @(divyajagwani).
