likes,about_post,date
"825,025 likes","kiaraaliaadvani
Verified
Muse for life❤️@manishmalhotra05❤️
41w","DECEMBER 20, 2019"
"706,259 views","kiaraaliaadvani
Verified
Can't wait to meet you all in cinemas but before that, you can book your tickets from THIS SUNDAY! Don't forget!
#GoodNewwz in cinemas 27th December.

@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
41w","DECEMBER 20, 2019"
"745,620 likes","kiaraaliaadvani
Verified
Monochrome or Gold.. Keepin' it Bold😎 @lakshmilehr @makeupbylekha @aasifahmedofficial @savar_9
41w","DECEMBER 19, 2019"
"786,066 views","kiaraaliaadvani
Verified
#GoodNewwz in cinemas 27th December!

Will need you to take a seat (in the cinemas :p) to handle this goof-up & the Batras!😂 @akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
41w","DECEMBER 19, 2019"
"892,780 likes","kiaraaliaadvani
Verified
Batras In Dilli!
41w","DECEMBER 18, 2019"
"1,321,581 likes","kiaraaliaadvani
Verified
🌸 @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass
42w","DECEMBER 15, 2019"
"970,441 likes","kiaraaliaadvani
Verified
🌸 @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass
42w","DECEMBER 12, 2019"
"671,228 likes","kiaraaliaadvani
Verified
🌸 @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass
42w","DECEMBER 12, 2019"
"806,028 likes","kiaraaliaadvani
Verified
🌸 @amanbhakriphotography @ekalakhani @akankshagajria @mahesh_notandass
42w","DECEMBER 12, 2019"
"1,670,037 likes","kiaraaliaadvani
Verified
🌈@lakshmilehr @makeupbylekha @aasifahmedofficial @esseclothing @trufflecollectionindia @shoplune @misho_designs @shikha298 @makeupbysalonij @25.harshad
42w","DECEMBER 12, 2019"
"870,902 likes","kiaraaliaadvani
Verified
Full house for promotions today #GoodNewwz 👶🏻❤️🥰🧔🏻👩🏻👳🏻‍♂️👩🏻
42w","DECEMBER 12, 2019"
"1,705,552 views","kiaraaliaadvani
Verified
Here's what went down in #ChandigarhMein!💃

#GoodNewwz @akshaykumarofficial #KareenaKapoorKhan @diljitdosanjh #KaranJohar #ApoorvaMehta #ShashankKhaitan #RajMehta #SomenMishra @OfficialBadshah @sandhuhardyofficial @lisamishramusic @AseesKaurMusic @tanishklive #AzeemDayani #BoscoMartis @ZeeStudios @DharmaMovies #CapeOfGoodFilms @ZeeMusicCompany
42w","DECEMBER 11, 2019"
"1,003,875 views","kiaraaliaadvani
Verified
#MaanaDil out now!

Sometimes life goes a little off track.. but what's life without it?
#GoodNewwz @akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @bpraak @tanishk_bagchi @therashmivirag @azeemdayani @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
43w","DECEMBER 9, 2019"
"1,138,792 likes","kiaraaliaadvani
Verified
Sleighing it in my Christmas red with my favourite @boat.nirvana. #PlugIntoNirvana and turn up the #Xmas vibes!
43w","DECEMBER 5, 2019"
"1,034,978 likes","kiaraaliaadvani
Verified
VOGUE🤩
Photographed by Tarun Vishwa.
Styled by: Fabio Immediato (@mrfabioimmediato)

Hair: Gabriel Georgiou (@georgiougabriel). Makeup: Subhash Vagal (Subbu). Nails: The White Door, Mumbai (@thewhitedoorindia). Set design & props: Bindiya Chhabria (@bindiya01). Production: Bindiya Chhabria; Divya Jagwani (@divyajagwani). Movement direction: Shruti Jasani; Paras Sharma.
43w","DECEMBER 4, 2019"
"841,292 likes","kiaraaliaadvani
Verified
VOGUE🤩
Photographed by Tarun Vishwa.
Styled by: Fabio Immediato (@mrfabioimmediato)

Hair: Gabriel Georgiou (@georgiougabriel). Makeup: Subhash Vagal (Subbu). Nails: The White Door, Mumbai (@thewhitedoorindia). Set design & props: Bindiya Chhabria (@bindiya01). Production: Bindiya Chhabria; Divya Jagwani (@divyajagwani). Movement direction: Shruti Jasani; Paras Sharma.
43w","DECEMBER 4, 2019"
"1,697,583 likes","kiaraaliaadvani
Verified
VOGUE🤩
Photographed by Tarun Vishwa.
Styled by: Fabio Immediato (@mrfabioimmediato)

Hair: Gabriel Georgiou (@georgiougabriel). Makeup: Subhash Vagal (Subbu). Nails: The White Door, Mumbai (@thewhitedoorindia). Set design & props: Bindiya Chhabria (@bindiya01). Production: Bindiya Chhabria; Divya Jagwani (@divyajagwani). Movement direction: Shruti Jasani; Paras Sharma.
43w","DECEMBER 4, 2019"
"1,176,168 likes","kiaraaliaadvani
Verified
VOGUE🤩
Photographed by Tarun Vishwa.
Styled by: Fabio Immediato (@mrfabioimmediato)

Hair: Gabriel Georgiou (@georgiougabriel). Makeup: Subhash Vagal (Subbu). Nails: The White Door, Mumbai (@thewhitedoorindia). Set design & props: Bindiya Chhabria (@bindiya01). Production: Bindiya Chhabria; Divya Jagwani (@divyajagwani). Movement direction: Shruti Jasani; Paras Sharma.
43w","DECEMBER 4, 2019"
"1,407,887 likes","kiaraaliaadvani
Verified
#FilmfareStyleAndGlamour2019 💥 Thank you team @filmfare for honouring me with the hotstepper of the year award 🤩😎😍❤
Humbled and delighted!
44w","DECEMBER 3, 2019"
"924,759 views","kiaraaliaadvani
Verified
Already on repeat for me!! Have fun this wedding season

💃🏻😍
#SaudaKharaKhara out now!
#GoodNewwz @akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @sukhbir_singer @dhvanibhanushali22 @dj.lijo @djchetas @kumaarofficial @azeemdayani @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
44w","DECEMBER 3, 2019"
"464,407 views","kiaraaliaadvani
Verified
VOGUE🤩
A magazine I've been reading since my teens... can't describe the feeling of being on the cover! Literally feels like 2019 is the year of many dreams coming true💥 Thankyou to the entire team @vogueindia for making this year even more special than it already is🤗❤️🥰🤩😍💥🙌🏼🙏🏼 Photographed by Tarun Vishwa.
Styled by: Fabio Immediato (@mrfabioimmediato)

Hair: Gabriel Georgiou (@georgiougabriel). Makeup: Subhash Vagal (Subbu). Nails: The White Door, Mumbai (@thewhitedoorindia). Set design & props: Bindiya Chhabria (@bindiya01). Production: Bindiya Chhabria; Divya Jagwani (@divyajagwani). Movement direction: Shruti Jasani; Paras Sharma.
44w","DECEMBER 3, 2019"
"1,122,178 views","kiaraaliaadvani
Verified
For the Biggest Party Song, Monika Batra goes Glam 💥🤩 #GoodNewwz #ChandigarhMein
44w","DECEMBER 2, 2019"
"273,335 likes","kiaraaliaadvani
Verified
Goof-up se hai pareshaani...khair mata rani ki hai meherbaani!
Getting you some more #GoodNewwz today!🙏
@akshaykumar #KareenaKapoorKhan @diljitdosanjh @karanjohar @apoorva1972 @shashankkhaitan @raj_a_mehta @somenmishra @zeestudiosofficial @dharmamovies #CapeOfGoodFilms @zeemusiccompany
44w","DECEMBER 2, 2019"
"1,072,381 likes","kiaraaliaadvani
Verified
#GoodNewwz Alert- it’s still Sunday 🤩🥳🥰
44w","DECEMBER 1, 2019"
